127.0.0.1 - - [27/Dec/2023:15:57:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:55 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:30 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:52 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:02:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 500 3323
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:02:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:02:46 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:02:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:02:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:07:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:07:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:07:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:07:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:15:48 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:15:54 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:15:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:16:10 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:16:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:18:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:22:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:22:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:23:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:23:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:23:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:23:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:23:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:51 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:24:52 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:25:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:25:31 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:25:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:26:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:26:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:46 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:30:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:31:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:32:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:32:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:32:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:32:04 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:32:07 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:32:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:34:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:34:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:02 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:21 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:21 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:35:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:39:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:39:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:39:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:39:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:39:16 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:39:19 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:40:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:41:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:41:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:43:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:44:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1291
